Module	Section	Sample Name	Source
FastQC	all_sections	SRR10215683_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215683_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215686_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215686_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215684_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215684_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215668_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215668_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215668_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215668_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215665_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215665_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215663_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215663_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215685_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215685_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215669_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215669_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215670_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215670_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215686_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215686_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215673_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215673_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215678_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215678_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215689_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215689_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215687_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215687_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215684_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215684_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215676_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215676_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215674_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215674_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215670_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215670_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215675_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215675_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215674_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215674_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215672_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215672_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215665_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215665_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215682_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215682_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215687_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215687_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215677_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215677_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215680_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215680_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215688_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215688_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215673_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215673_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215685_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215685_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215664_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215664_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215675_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215675_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215671_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215671_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215669_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215669_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215683_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215683_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215662_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215662_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215662_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215662_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215680_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215680_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215667_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215667_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215679_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215679_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215666_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215666_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215672_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215672_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215671_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215671_2_val_2_fastqc.zip
